Modellname;C6MDNP;C6ARTP;C6ARB1;C6ARB2;C6VABZ;C6SVK3;C6SVT3
Zubehör;ZB00;15114;Kleiderstange;Sockelbreite 91;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;15115;Kleiderstange;Sockelbreite 81;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;15428;Krawattenhalter;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;19200;Schubkasteneinsatz m. Softeinzug;Sockelbreite 81;2 Schubkasten u. Fachboden oben;1950;"ZUBEHÖR: 00 "
Zubehör;ZB00;19201;Schubkasteneinsatz m. Softeinzug;Sockelbreite 91;2 Schubkasten u. Fachboden oben;1950;"ZUBEHÖR: 00 "
Zubehör;ZB00;19202;Schubkasteneinsatz m. Softeinzug;Sockelbreite 97;2 Schubkasten u. Fachboden oben;1950;"ZUBEHÖR: 00 "
Zubehör;ZB00;19203;Schubkasteneinsatz m. Softeinzug;Sockelbreite 110;2 Schubkasten u. Fachboden oben;1950;"ZUBEHÖR: 00 "
Zubehör;ZB00;31146;Kleiderstange für Drehtüren;Sockelbreite 43;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31150;Kleiderstange für Drehtüren;Sockelbreite 48;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31264;Fachboden;Sockelbreite 40;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31265;Fachboden, 2er Set;Sockelbreite 40;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31266;Fachboden;Sockelbreite 48;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31267;Fachboden, 2er Set;Sockelbreite 48;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31268;Fachboden;für Schrägelement;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31269;Fachboden, 2er Set;für Schrägelement;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31300;Fachboden;für Eckschrank begehbar;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31301;Fachboden, 2er Set;für Eckschrank begehbar;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31302;Fachboden;für Eckschrank 90 Grad;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;31303;Fachboden, 2er Set;für Eckschrank 90 Grad;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;35333;Fachboden Panoramaschrank;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;35334;Fachboden Panoramaschrank, 2er Set;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;35335;Fachboden Panoramaschrank;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;35336;Fachboden Panoramaschrank, 2er Set;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;35676;Schubkastenunterteilung 4er-Set;Beimöbel bis 120 cm Breite;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;35879;Kleiderlift;für Schrankbreiten 167cm-400cm;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;36156;LED-Schrankbeleuchtung Candleline;2er-Set, alufarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;36158;LED-Schrankbeleuchtung Candleline;3er-Set, alufarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;38034;Tür-Öffnungs- und Schließdämpfer;4er-Set, für 2-trg. Schränke;2x öffnen, 2x schließen;1950;ZUBEHÖR: 00
